dist	sigma	ibd	ibdcorr	r
Gamma_0.5	1	0.386005025126	0.189043281964	1
Gamma_0.5	1	0.341542713568	0.130424863951	2
Gamma_0.5	1	0.32064321608	0.102871423542	3
Gamma_0.5	1	0.307010050251	0.0848313970171	4
Gamma_0.5	1	0.297185929648	0.0718542451033	5
Gamma_0.5	1	0.288874371859	0.0608935664736	6
Gamma_0.5	1	0.281336683417	0.0505345900466	7
Gamma_0.5	1	0.275452261307	0.0434933033119	8
Gamma_0.5	1	0.270206030151	0.0362648123373	9
Gamma_0.5	1	0.266326633166	0.0315144918917	10
Gamma_0.5	1	0.261427135678	0.0253143901918	11
Gamma_0.5	1	0.256492462312	0.0184324867186	12
Gamma_0.5	1	0.254552763819	0.0161028264415	13
Gamma_0.5	1	0.251115577889	0.0113983258769	14
Gamma_0.5	1	0.248035175879	0.00718641106697	15
Gamma_0.5	1	0.246045226131	0.00483026795623	16
Gamma_0.5	1	0.242628140704	0.000525261176299	17
Gamma_0.5	1	0.241216080402	-0.00153271913964	18
Gamma_0.5	1	0.239361809045	-0.00341242020672	19
Gamma_0.5	1	0.23667839196	-0.00717618774826	20
Gamma_0.5	1	0.236768844221	-0.00727301402969	21
Gamma_0.5	1	0.233231155779	-0.0117401758788	22
Gamma_0.5	1	0.231381909548	-0.0144113358034	23
Gamma_0.5	1	0.229407035176	-0.0168911406908	24
Gamma_0.5	1	0.228497487437	-0.0183817109741	25
Gamma_0.5	1	0.226537688442	-0.0207762341659	26
Gamma_0.5	1	0.226422110553	-0.0211836679556	27
Gamma_0.5	1	0.226095477387	-0.0215715619807	28
Gamma_0.5	1	0.223849246231	-0.0245633413502	29
Gamma_0.5	1	0.221497487437	-0.0272685525734	30
Gamma_0.5	1	0.221120603015	-0.0275262860642	31
Gamma_0.5	1	0.220487437186	-0.0287507771169	32
Gamma_0.5	1	0.219251256281	-0.0300586573072	33
Gamma_0.5	1	0.218030150754	-0.0317713852831	34
Gamma_0.5	1	0.21875879397	-0.0305998937146	35
Gamma_0.5	1	0.218457286432	-0.0310576452395	36
Gamma_0.5	1	0.217085427136	-0.0329221847417	37
Gamma_0.5	1	0.21732160804	-0.0327944475899	38
Gamma_0.5	1	0.216487437186	-0.0335827469706	39
Gamma_0.5	1	0.215386934673	-0.0355662825638	40
Gamma_0.5	1	0.217	-0.033297006063	41
Gamma_0.5	1	0.214879396985	-0.0360753010307	42
Gamma_0.5	1	0.214587939698	-0.0363726264182	43
Gamma_0.5	1	0.214165829146	-0.0373403319718	44
Gamma_0.5	1	0.214552763819	-0.0364560639076	45
Gamma_0.5	1	0.213130653266	-0.038493978971	46
Gamma_0.5	1	0.213236180905	-0.0382153391318	47
Gamma_0.5	1	0.213929648241	-0.0370876854935	48
Gamma_0.5	1	0.213065326633	-0.0380355683989	49
Gamma_0.5	1	0.212633165829	-0.03864162325	50
Gamma_1	1	0.455371859296	0.253872890554	1
Gamma_1	1	0.410311557789	0.192328255013	2
Gamma_1	1	0.382341708543	0.155173019791	3
Gamma_1	1	0.363934673367	0.130028390803	4
Gamma_1	1	0.349417085427	0.109470640235	5
Gamma_1	1	0.337778894472	0.0939799002716	6
Gamma_1	1	0.325532663317	0.0771322615567	7
Gamma_1	1	0.316979899497	0.0660183607287	8
Gamma_1	1	0.309170854271	0.0552028621717	9
Gamma_1	1	0.301748743719	0.0448276993721	10
Gamma_1	1	0.296195979899	0.0374337036226	11
Gamma_1	1	0.289100502513	0.0276645111644	12
Gamma_1	1	0.284909547739	0.0224443701251	13
Gamma_1	1	0.278788944724	0.0137844313967	14
Gamma_1	1	0.27535678392	0.00912131624361	15
Gamma_1	1	0.271994974874	0.00460808183191	16
Gamma_1	1	0.269396984925	0.000938609512477	17
Gamma_1	1	0.266256281407	-0.00275779701751	18
Gamma_1	1	0.262065326633	-0.00868671737959	19
Gamma_1	1	0.258457286432	-0.0134147134007	20
Gamma_1	1	0.25627638191	-0.0164394961857	21
Gamma_1	1	0.255326633166	-0.0173478538421	22
Gamma_1	1	0.252537688442	-0.0216162208022	23
Gamma_1	1	0.250618090452	-0.0238518506742	24
Gamma_1	1	0.248412060302	-0.0270885805742	25
Gamma_1	1	0.245005025126	-0.0315730602126	26
Gamma_1	1	0.245120603015	-0.0319260939567	27
Gamma_1	1	0.243492462312	-0.0333590952573	28
Gamma_1	1	0.240005025126	-0.038538787821	29
Gamma_1	1	0.238844221106	-0.0396631106628	30
Gamma_1	1	0.236432160804	-0.0428538981831	31
Gamma_1	1	0.23556281407	-0.043932428311	32
Gamma_1	1	0.235502512563	-0.0443004594325	33
